DNI;name;lastnames;birthdate;state;weight;height;telephone;intolerances;doctor;currentdiet
41553970P;Cristina;Garcia Molina;1989-01-27;ascenso;166.68;1.54;678654321;0;4;43
83211085L;Marta;Diaz Lopez;1955-06-10;ascenso;81.78;1.47;684567890;0;3;8
32399118L;Jose;Gonzalez Marin;1983-09-23;mantenimiento;58.01;1.99;630980754;0;2;20
53646962X;Laura;Castillo Leon;1952-12-03;descenso;113.57;1.78;623456789;0;5;6
22582895L;Pedro;Hernandez Ortiz;1976-09-15;descenso;63.63;1.55;611234567;0;1;2
40418220T;Raul;Martin Rodriguez;1952-08-14;ascenso;183.47;1.69;647890123;0;4;43
57685331G;Julia;Vega Diaz;1989-11-05;descenso;63.60;1.56;692345678;1;5;34
78858624G;Sofia;Ramos Ortiz;1984-02-23;ascenso;108.09;1.48;679876543;0;7;13
11278952Q;Miguel;Gonzalez Ramos;1970-12-01;mantenimiento;96.67;1.81;614567890;0;6;36
02358124Z;Carmen;Ruiz Soto;1952-08-08;descenso;89.71;1.86;608765432;0;3;44
16895033S;Juan;Sanz Rodriguez;2001-03-23;mantenimiento;57.23;1.51;648901234;0;1;36
05622134W;Pilar;Ortega Jimenez;1959-12-21;ascenso;161.10;1.91;650123456;0;7;27
77242812H;Raul;Gomez Torres;1985-07-16;descenso;65.15;1.66;630987654;0;3;4
30111234M;Luis;Martin Sanchez;1947-03-02;mantenimiento;62.43;1.65;642345678;0;2;10
18759113T;Ines;Castillo Romero;1987-06-24;ascenso;173.57;1.88;674567890;0;1;43
09798203L;Manuel;Lopez Aguilar;1994-08-13;descenso;51.89;1.61;691234567;0;7;27
11933112X;Raul;Diaz Saez;2005-06-02;mantenimiento;65.29;1.98;655678901;1;5;48
