"DNI";"name";"lastnames";"birthdate";"state";"weight";"height";"telephone";"intolerances";"doctor";"currentdiet"
83833757G;Javier;Fernandez Martinez;1979-05-01;mantenimiento;87.56;1.78;655889463;0;2;25
98972981H;Lucia;Garcia Sanchez;1981-12-09;ascenso;62.45;1.62;656983377;0;5;17
17891224C;Carlos;Gomez Romero;1966-02-19;descenso;89.03;1.92;654287227;1;7;49
41751802V;Ines;Lopez Garcia;1963-06-10;ascenso;70.20;1.74;676064374;0;1;34
50311250Q;Maria;Perez Moreno;1986-10-27;descenso;66.29;1.63;610073736;0;4;6
79424390S;Pedro;Gonzalez Castro;1971-11-12;mantenimiento;94.54;1.83;623575841;1;6;9
67716439N;Sara;Martinez Ortiz;1954-07-28;ascenso;58.66;1.63;628040245;0;2;44
42013944G;Manuel;Jimenez Ruiz;1975-06-18;descenso;85.36;1.93;655991066;0;3;36
67475255F;Carmen;Sanchez Garcia;1976-09-26;mantenimiento;73.09;1.67;600124619;1;4;48
35759399J;Antonio;Torres Gonzalez;1958-08-22;ascenso;77.85;1.75;647401279;0;5;12
82027467B;Ana;Rodriguez Ramirez;1955-03-20;mantenimiento;67.52;1.76;624961172;1;7;13
15606728K;Francisco;Hernandez Lopez;1970-11-09;descenso;65.40;1.62;658363392;0;2;32
79192913X;Isabel;Garcia Moreno;1948-04-23;ascenso;80.82;1.87;680708871;1;6;4
92837275K;Pablo;Martinez Castro;1984-05-08;mantenimiento;65.84;1.70;650107691;1;1;22
88182185T;Silvia;Perez Rodriguez;1972-06-01;descenso;60.91;1.91;622478309;0;3;9
29366620W;Adrian;Diaz Alvarez;1994-05-15;ascenso;72.26;1.88;660176585;1;4;19
28432375Y;Elena;Gonzalez Perez;1965-11-27;descenso;72.49;1.74;684096383;0;6;11
